# Column,Old name(s),Category,Definition,Not used?,In kitten?
LENGTH_QUARTERS_YU,LENGTH_QUARTERS_YU,METAOBS,The length of the Kepler dataset in quarters,0,0
LENGTH_DAYS_YU,LENGTH_DAYS_YU,METAOBS,The length of the Kepler dataset in days,0,0
NUMAX_SYD_YU,NUMAX_YU NUMAX_SYD_YU,SEISMIC,Frequency of maximum power in muHz estimated by SYD pipeline,0,0
ERROR_NUMAX_SYD_YU,ERROR_NUMAX_YU,SEISMIC,Uncertainty in numax in muHz estimated by SYD pipeline,0,0
DNU_SYD_YU,DNU_YU,SEISMIC,Average large frequency separation in muHz estimated by SYD pipeline,0,0
ERROR_DNU_SYD_YU,ERROR_DNU_YU,SEISMIC,Uncertainty in deltanu in muHz estimated by SYD pipeline,0,0
AMPLITUDE_SYD_YU,AMPLITUDE_YU,SEISMIC,Oscillation amplitude in ppm estimated by SYD pipeline. Only estimated for stars with numax < 200 muHz.,0,0
ERROR_AMPLITUDE_SYD_YU,ERROR_AMPLITUDE_YU,SEISMIC,Uncertainty in oscillation amplitude in ppm estimated by SYD pipeline. Only estimated for stars with numax < 200 muHz.,0,0
FWHM_SYD_YU,FWHM_YU,SEISMIC,Power excess width per radial mode in muHz estimated by SYD pipeline. Only estimated for stars with numax < 200 muHz.,1,0
ERROR_FWHM_SYD_YU,ERROR_FWHM_YU,SEISMIC,Uncertainty in power excess width per radial mode in muHz estimated by SYD pipeline. Only estimated for stars with numax < 200 muHz.,1,0
MAXBG_YU,MAXBG_YU,SEISMIC,Granulation power at numax in ppm^2/muHz estimated by SYD pipeline. Only estimated for stars with numax < 200 muHz.,1,0
ERROR_MAXBG_YU,ERROR_MAXBG_YU,SEISMIC,Uncertainty in granulation power at numax in ppm^2/muHz estimated by SYD pipeline. Only estimated for stars with numax < 200 muHz.,1,0
TEFF_YU,TEFF_YU,CHEM,Effective temperature from Mathur+2017.,0,0
ERROR_TEFF_YU,ERROR_TEFF_YU,CHEM,Uncertainty in effective temperature from Mathur+2017.,0,0
LOGG_YU,LOGG_YU,PHYS,Surface gravity derived seismically from Yu+2018,0,0
ERROR_LOGG_YU,ERROR_LOGG_YU,PHYS,Uncertainty in surface gravity derived seismically from Yu+2018,0,0
FE_H_YU,FE/H_YU,CHEM,Metallicity from Mathur+2017,0,0
ERROR_FE_H_YU,ERROR_FE/H_YU,CHEM,Uncertainty in metallicity from Mathur+2017,0,0
M_NOCORRECTION_YU,M_NOCORRECTION_YU,PHYS,Mass derived with no deltanu correction from Yu+2018,0,0
ERROR_M_NOCORRECTION_YU,ERROR_M_NOCORRECTION_YU,PHYS,Uncertainty in mass derived with no deltanu correction from Yu+2018,0,0
R_NOCORRECTION_YU,R_NOCORRECTION_YU,PHYS,Radius derived with no deltanu correction from Yu+2018,0,0
ERROR_R_NOCORRECTION_YU,ERROR_R_NOCORRECTION_YU,PHYS,Uncertainty in radius derived with no deltanu correction from Yu+2018,0,0
M_RGB_YU,M_RGB_YU,PHYS,Mass derived using correction for RGB stars in Yu+2018 see their Figure 12,0,0
ERROR_M_RGB_YU,ERROR_M_RGB_YU,PHYS,"Uncertainty in mass derived using correction for RGB stars in Yu+2018, see their Figure 12",0,0
R_RGB_YU,R_RGB_YU,PHYS,"Radius derived using correction for RGB stars in Yu+2018, see their Figure 12",0,0
ERROR_R_RGB_YU,ERROR_R_RGB_YU,PHYS,"Uncertainty in radius derived using correction for RGB stars in Yu+2018, see their Figure 12",0,0
M_CLUMP_YU,M_CLUMP_YU,PHYS,"Mass derived using correction for red clump stars in Yu+2018, see their Figure 12",0,0
ERROR_M_CLUMP_YU,ERROR_M_CLUMP_YU,PHYS,"Uncertainty in mass derived using correction for red clump stars in Yu+2018, see their Figure 12",0,0
R_CLUMP_YU,R_CLUMP_YU,PHYS,"Radius derived using correction for red clump stars in Yu+2018, see their Figure 12",0,0
ERROR_R_CLUMP_YU,ERROR_R_CLUMP_YU,PHYS,"Uncertainty in radius derived using correction for red clump stars in Yu+2018, see their Figure 12",0,0
EVOPHASE_YU,EVOPHASE_YU,PHYS,"Evolutionary phases from Yu+2018, from Bedding+2011, Stello+2013, Mosser+2014, Vrard+2016, Elsworth+2017, and Hon+2017",0,1
STPROPFLAG_MAST,stpropflag_MAST stpropflag_EPIC Sflag_EPIC,DELETE,"Stellar properties flag which indicate which classification was used in EPIC. As it is noted 'Not used' in Vizier, it has been removed from here.",1,0
OBJECTTYPE_EPIC,OType_EPIC Objecttype_MAST objtype_EPIC,FLAG,Object type in EPIC (STAR or EXTENDED),0,0
KPFLAG_EPIC,Kpflag_EPIC Kepflag_MAST kepflag_EPIC,FLAG,"Kepler magnitude flag extracted from EPIC. It keeps track of which photometry was used to calculate the Kepler magnitude. The prioritization was adopted as follows: gri = Kp was calculated from gri magnitudes using Equations (2)-(5) in Brown+ (2011, J/AJ/142/112). BV =	Sloan gr was estimated from Johnson BV using the transformations by Bilir+ (2005, J/AN/326/321): Equation (1): g-r=1.124(B-V)-0.252 and Equation (2): g=V+0.634(B-V)-0.108 Kp was then calculated from gr using Equation (2) in Brown+ (2011, J/AJ/142/112).  JHK = Kp was calculated using the polynomial J-K relations by Howell+ (2012ApJ...746..123H). Given x=J-K these transformations are: Equation (3): Kp=0.42443603+3.7937617x-2.3267277x2 +1.4602553x3+K, for all stars with J-H>0.75 and H-K>0.1 (approximate color cut for giants), and Equation (4): Kp=0.314377+3.85667x+3.176111x2 -25.3126x3+40.7221x4 -19.2112x5+K, for all remaining stars. The above relations are applied for -0.2<J-K<1.2 for giants and -0.2<J-K<1.0 for dwarfs, which are the calibration ranges given by Howell+ (2012ApJ...746..123H). J = For sources outside the color limits of Equations (3) and (4) or sources which only have a valid J-band magnitude, a rough estimate of Kp was calculated from the J-band magnitude using the relations by Howell+ (2012ApJ...746..123H): Equation (5):-398.04666+149.08127J-21.952130J2 +1.5968619J3-0.057478947J4 +0.00082033223J5+J for J=10-16.7 and Equation (6): Kp=0.1918+1.08156J for J>16.7. See section 3 in Huber+, 2016, J/ApJS/224/2, for a further discussion.",0,0
PMRA_EPIC, pmra_EPIC pmRA_EPIC pmra_MAST,COORD,"Right ascension proper motion in arcsec/year extracted from EPIC, probably from UCAC4.",0,0
ERROR_PMRA_EPIC,e_pmRA_EPIC e_pmra_EPIC e_pmra_MAST,COORD,"Uncertainty in right ascension proper motion in arcsec/year extracted from EPIC, probably from UCAC4.",0,0
PMDEC_EPIC, pmdec_EPIC pmDEC_EPIC pmdec_MAST,COORD,"Declination proper motion in arcsec/year extracted from EPIC, probably from UCAC4.",0,0
ERROR_PMDEC_EPIC,e_pmDEC_EPIC e_pmdec_EPIC e_pmdec_MAST,COORD,"Uncertainty in declination proper motion in arcsec/year extracted from EPIC, probably from UCAC4.",0,0
PLX_HIP_EPIC,plx_EPIC plx_MAST,COORD,Parallax from Hipparcos extracted from EPIC,0,0
ERROR_PLX_HIP_EPIC,e_plx_EPIC e_plx_MAST,COORD,Uncertainty in parallax from Hipparcos extracted from EPIC,0,0
BMAG_EPIC,Bmag_EPIC Bmag_MAST bmag_EPIC,PHOT,"Johnson B magnitude in EPIC. For sources with photometry in multiple catalogs, Tycho BV and UCAC gri were prioritized over APASS BV and SDSS gri to avoid saturation problems for bright stars.",0,0
ERROR_BMAG_EPIC,e_Bmag_EPIC e_Bmag_MAST e_bmag_EPIC,PHOT,"Uncertainty in Johnson B magnitude in EPIC. For sources with photometry in multiple catalogs, Tycho BV and UCAC gri were prioritized over APASS BV and SDSS gri to avoid saturation problems for bright stars.",0,0
VMAG_EPIC,Vmag_EPIC Vmag_MAST vmag_EPIC,PHOT,"Johnson V magnitude in EPIC. For sources with photometry in multiple catalogs, Tycho BV and UCAC gri were prioritized over APASS BV and SDSS gri to avoid saturation problems for bright stars.",0,0
ERROR_VMAG_EPIC,e_Vmag_EPIC e_Vmag_MAST e_vmag_EPIC,PHOT,"Uncertainty in Johnson V magnitude in EPIC. For sources with photometry in multiple catalogs, Tycho BV and UCAC gri were prioritized over APASS BV and SDSS gri to avoid saturation problems for bright stars.",0,0
UMAG_EPIC,umag_EPIC umag_MAST,PHOT,"Johnson U magnitude in EPIC. For sources with photometry in multiple catalogs, Tycho BV and UCAC gri were prioritized over APASS BV and SDSS gri to avoid saturation problems for bright stars.",0,0
ERROR_UMAG_EPIC,e_umag_EPIC e_umag_MAST,PHOT,"Uncertainty in Johnson U magnitude in EPIC. For sources with photometry in multiple catalogs, Tycho BV and UCAC gri were prioritized over APASS BV and SDSS gri to avoid saturation problems for bright stars.",0,0
GMAG_SDSS_EPIC,gmag_EPIC gmag_MAST,PHOT,SLOAN g magnitude from EPIC extracted from MAST,0,0
ERROR_GMAG_SDSS_EPIC,e_gmag_EPIC e_gmag_MAST,PHOT,Uncertainty in SLOAN g magnitude from EPIC extracted from MAST,0,0
RMAG_SDSS_EPIC,rmag_EPIC rmag_MAST,PHOT,SLOAN r magnitude from EPIC,0,0
ERROR_RMAG_SDSS_EPIC,e_rmag_EPIC e_rmag_MAST,PHOT,Uncertainty in SLOAN r magnitude from EPIC extracted from MAST,0,0
IMAG_SDSS_EPIC,imag_EPIC imag_MAST,PHOT,SLOAN i magnitude from EPIC extracted from MAST,0,0
ERROR_IMAG_SDSS_EPIC,e_imag_EPIC e_imag_MAST,PHOT,Uncertainty in SLOAN i magnitude from EPIC extracted from MAST,0,0
ZMAG_SDSS_EPIC,zmag_EPIC zmag_MAST,PHOT,SLOAN z magnitude from EPIC,0,0
ERROR_ZMAG_SDSS_EPIC,e_zmag_EPIC e_zmag_MAST,PHOT,Uncertainty in SLOAN z magnitude from EPIC extracted from MAST,0,0
JMAG_TMASS_EPIC,Jmag_EPIC Jmag_MAST jmag_EPIC,PHOT,2MASS J magnitude from EPIC extracted from MAST,0,0
ERROR_JMAG_TMASS_EPIC,e_Jmag_EPIC e_Jmag_MAST e_jmag_EPIC,PHOT,Uncertainty in 2MASS J magnitude from EPIC extracted from MAST,0,0
HMAG_TMASS_EPIC,Hmag_EPIC Hmag_MAST hmag_EPIC,PHOT,2MASS H magnitude from EPIC extracted from MAST,0,0
ERROR_HMAG_TMASS_EPIC,e_Hmag_EPIC e_Hmag_MAST e_hmag_EPIC,PHOT,Uncertainty in 2MASS H magnitude from EPIC extracted from MAST,0,0
KMAG_TMASS_EPIC,Ksmag_EPIC Kmag_MAST kmag_EPIC,PHOT,2MASS Ks magnitude from EPIC extracted from MAST,0,0
ERROR_KMAG_TMASS_EPIC,e_Ksmag_EPIC e_Kmag_MAST e_kmag_EPIC,PHOT,Uncertainty in 2MASS Ks magnitude from EPIC extracted from MAST,0,0
KEPLERMAG_EPIC,Kpmag_EPIC KepMag_MAST kp_EPIC,PHOT,Kepler magnitude in mag,0,0
W1MAG_MAST,w1mag_MAST w1mag_EPIC,DELETE,"WISE W1 magnitude from MAST, currently only null",1,0
ERROR_W1MAG_MAST,e_w1mag_MAST e_w1mag_EPIC,DELETE,"Uncertainty in WISE W1 magnitude from MAST, currently only null",1,0
W2MAG_MAST,w2mag_MAST w2mag_EPIC,DELETE,"WISE W2 magnitude from MAST, currently only null",1,0
ERROR_W2MAG_MAST,e_w2mag_MAST e_w2mag_EPIC,DELETE,"Uncertainty in WISE W2 magnitude from MAST, currently only null",1,0
W3MAG_MAST,w3mag_MAST w3mag_EPIC,DELETE,"WISE W3 magnitude from MAST, currently only null",1,0
ERROR_W3MAG_MAST,e_w3mag_MAST e_w3mag_EPIC,DELETE,"Uncertainty in WISE W3 magnitude from MAST, currently only null",1,0
W4MAG_MAST,w4mag_MAST w4mag_EPIC,DELETE,"WISE W4 magnitude from MAST, currently only null",1,0
ERROR_W4MAG_MAST,e_w4mag_MAST e_w4mag_EPIC,DELETE,"Uncertainty in WISE W4 magnitude from MAST, currently only null",1,0
TEFF_EPIC,Teff_EPIC Teff_MAST teff_EPIC,CHEM,Effective temperature in kelvin from EPIC,0,0
UPPER_ERROR_TEFF_EPIC,E_Teff_EPIC ep_teff_MAST ep_teff_EPIC,CHEM,Upper uncertainty in effective temperature in kelvin from EPIC,0,0
LOWER_ERROR_TEFF_EPIC,e_Teff_EPIC em_teff_MAST em_teff_EPIC,CHEM,Lower uncertainty in effective temperature in kelvin from EPIC,0,0
LOGG_EPIC,logg_EPIC logg_MAST,CHEM,Surface gravity in cgs units from EPIC,0,0
UPPER_ERROR_LOGG_EPIC,E_logg_EPIC ep_logg_MAST ep_logg_EPIC,CHEM,Upper uncertainty in surface gravity in cgs units from EPIC,0,0
LOWER_ERROR_LOGG_EPIC,e_logg_EPIC em_logg_MAST em_logg_EPIC,CHEM,Lower uncertainty in surface gravity in cgs units from EPIC,0,0
FE_H_EPIC,[Fe/H]_EPIC __Fe_H__EPIC [Fe/H]_MAST feh_EPIC,CHEM,Metallicity from EPIC,0,0
UPPER_ERROR_FE_H_EPIC, E__Fe_H__EPIC E_[Fe/H]_EPIC ep_[Fe/H]_MAST ep_feh_EPIC,CHEM,Upper uncertainty in metallicity from EPIC,0,0
LOWER_FE_H_EPIC,e__Fe_H__EPIC e_[Fe/H]_EPIC em_[Fe/H]_MAST em_feh_EPIC,CHEM,Lower uncertainty in metallicity from EPIC,0,0
RADIUS_EPIC,Rad_EPIC Radius_MAST rad_EPIC,PHYS,Stellar radius in solar units from EPIC,0,0
UPPER_ERROR_RADIUS_EPIC,E_Rad_EPIC ep_rad_MAST ep_rad_EPIC,PHYS,Upper uncertainty in stellar radius in solar units from EPIC,0,0
LOWER_ERROR_RADIUS_EPIC,e_Rad_EPIC em_rad_MAST em_rad_EPIC,PHYS,Lower uncertainty in stellar radius in solar units from EPIC,0,0
MASS_EPIC,Mass_EPIC mass_MAST mass_EPIC,PHYS,Stellar mass in solar units from EPIC,0,0
UPPER_ERROR_MASS_EPIC,E_Mass_EPIC ep_mass_MAST ep_mass_EPIC,PHYS,Upper uncertainty in stellar mass in solar units from EPIC,0,0
LOWER_ERROR_MASS_EPIC,e_Mass_EPIC em_mass_MAST em_mass_EPIC,PHYS,Lower uncertainty in stellar mass in solar units from EPIC,0,0
RHO_EPIC,rho_EPIC rho_MAST,PHYS,Stellar density in solar units from EPIC,0,0
UPPER_ERROR_RHO_EPIC,E_rho_EPIC ep_rho_MAST ep_rho_EPIC,PHYS,Upper uncertainty in stellar density in solar units from EPIC,0,0
LOWER_ERROR_RHO_EPIC,e_rho_EPIC em_rho_MAST em_rho_EPIC,PHYS,Lower uncertainty in stellar density in solar units from EPIC,0,0
LUMINOSITY_EPIC,lum_EPIC,CHEM,Luminosity in solar units from EPIC,0,0
UPPER_ERROR_LUMINOSITY_EPIC,ep_lum_EPIC,PHYS,Upper uncertainty in stellar luminosity in solar units from EPIC,0,0
LOWER_ERROR_LUMINOSITY_EPIC,em_lum_EPIC,PHYS,Lower uncertainty in stellar luminosity in solar units from EPIC,0,0
DISTANCE_EPIC,Dist_EPIC Distance_MAST d_EPIC,COORD,Distance to star in parsec from EPIC extracted from MAST,1,0
UPPER_ERROR_DISTANCE_EPIC,E_Dist_EPIC ep_d_MAST ep_d_EPIC,COORD,Upper uncertainty in distance to star in parsec from EPIC,1,0
LOWER_ERROR_DISTANCE_EPIC,e_Dist_EPIC em_d_MAST em_d_EPIC,COORD,Lower uncertainty in distance to star in parsec from EPIC,1,0
EBV_EPIC,E_B-V__EPIC E(B-V)_EPIC E(B-V)_MAST ebv_EPIC,PHOT,Extinction E(B-V) from EPIC,0,0
UPPER_ERROR_EBV_EPIC,E_E_B-V__EPIC E_E(B-V)_EPIC ep_E(B-V)_MAST ep_ebv_EPIC,PHOT,Upper uncertainty in extinction E(B-V) from EPIC,0,0
LOWER_ERROR_EBV_EPIC,e_E_B-V__EPIC e_E(B-V)_EPIC em_E(B-V)_MAST em_ebv_EPIC,PHOT,Lower uncertainty in extinction E(B-V) from EPIC,0,0
NOMAD1_EPIC,NOMAD1_EPIC NomadID_MAST nomad_EPIC,ID,NOMAD1 identifier for sources in EPIC with supplemented NOMAD1 proper motions,0,0
FLAG_2MASS_EPIC,f_2MASS_EPIC 2MASSFlag_MAST mflg_EPIC,FLAG,2MASS flags (Qflg-Rflg-Bflg-Cflg-Xflg-Aflg; see II/246),0,0
PROX_EPIC,Prox_EPIC prox_EPIC,CHEM,2MASS nearest neighbor distance (arcsec) from EPIC,0,0
KFLAG_EPIC,Kflag_EPIC k2_avail_flag_EPIC,METAOBS,"1=target was observed, 0=target not observed from EPIC",1,0
NEARESTNEIGHBOR_MAST,NearestNeighbor_MAST,METAOBS,Distance between coordinates in EPIC and the nearest neighbor in 2MASS in arcse,0,0
TMASS_DESIGNATION,2MASSDesignation_MAST 2MASSDESIGNATION TMASS_DESIGNATION_TYCHO2 2MASSdesignation_MAST TMASS_DESIGNATION_UCAC5,METAOBS,"A unique identification number which was defined during final processing to identify a 2Mass catalog entry. The unique identification number is referred to as pts_key/cntr. See the User's Guide to the 2Mass All Sky Data Release, at http://www.ipac.caltech.edu/2mass/releases/allsky/doc/explsup.html for information on the pts_key/cntr field.",0,0
TMASS_CONFLICT_FLAG,2MASSconflictflag_MAST 2MASSCONFLICTFLAG twoMassconflictflag_MAST TMASS_CONFLICT_FLAG_TYCHO2 TMASS_CONFLICT_FLAG_UCAC5,FLAG,Flag describing the difference (if any) between 2MASS values derived by MAST staff and the original KIC 2MASS entries. ,0,0
ERROR_MAJ_TMASS,errMaj_TMASS errMaj_TMASS,COORD,Semi-major axis of position error ellipse from 2MASS,1,0
ERROR_MIN_TMASS,errMin_TMASS,COORD,Semi-minor axis of position error ellipse from 2MASS,1,0
ERROR_PA_TMASS,errPA_TMASS,COORD,Position angle of error ellipse major axis (E of N) from 2MASS,1,0
JMAG_TMASS,Jmag_TMASS,PHOT,"J band magnitude from 2MASS. This is the selected 'default' magnitude for each band, [JHK]. If the source is not detected in the band, this is the 95% confidence upper limit derived from a 4 arcsec radius aperture measurement taken at the position of the source on the Atlas Image. The origin of the default magnitude is given by the first character of the Rflg value (Rflg). This column is null if the source is nominally detected in the band, but no useful brightness estimate could be made (Rflg='9').",0,0
J_CMSIG_TMASS,Jcmsig_TMASS,PHOT,"Corrected J band magnitude from 2MASS. This is the corrected photometric uncertainty [JHK]cmsig for the default magnitude. If Rflg='2', this is the measurement error from the profile-fitting procedure, corrected to be consistent with observed repeatability statistics. If Rflg='2' or '4', this is the RMS of the brightness measured in aperture photometry on the individual frames. If Rflg='3', the uncertainty is derived from the residuals to the 1-d radial profile fit to the unsaturated wings of the bright star. If the value is >8.0, it is a flag value indicating that a meaningful uncertainty could not be determined for the source. This column is null if the default magnitude is a 95% confidence upper limit (Rflg='0' or '6') or if the source is not measurable (Rflg='9')",0,0
ERROR_JMAG_TMASS,e_Jmag_TMASS,PHOT,"Total uncertainty in J band magnitude from 2MASS. The combined uncertainty is derived from the following relation: e_[JHK]mag = sqrt([JHK]cmsig2 + [JHK]zperr2 + fferr2 + [r1normrms2]) where cmsig = Corrected band photometric uncertainty.  zperr = Nightly photometric zero point uncertainty = 0.011 mag.  fferr = Flat-fielding residual error = 0.005 mags.  r1normrms = R1 normalization uncertainty = 0.012 mags (applied only for sources with Rflg='1').  This column is null if the default magnitude is a 95% confidence upper limit (i.e. the source is not detected, or inconsistently deblended in the band).",0,0
J_SNR_TMASS,Jsnr_TMASS,METAOBS,Signal-to-noise ratio for the J band magnitude detection in 2MASS,1,0
HMAG_TMASS,Hmag_TMASS,PHOT,"H band magnitude from 2MASS. This is the selected 'default' magnitude for each band, [JHK]. If the source is not detected in the band, this is the 95% confidence upper limit derived from a 4 arcsec radius aperture measurement taken at the position of the source on the Atlas Image. The origin of the default magnitude is given by the first character of the Rflg value (Rflg). This column is null if the source is nominally detected in the band, but no useful brightness estimate could be made (Rflg='9').",0,0
H_CMSIG_TMASS,Hcmsig_TMASS,PHOT,"Corrected H band magnitude from 2MASS. This is the corrected photometric uncertainty [JHK]cmsig for the default magnitude. If Rflg='2', this is the measurement error from the profile-fitting procedure, corrected to be consistent with observed repeatability statistics. If Rflg='2' or '4', this is the RMS of the brightness measured in aperture photometry on the individual frames. If Rflg='3', the uncertainty is derived from the residuals to the 1-d radial profile fit to the unsaturated wings of the bright star. If the value is >8.0, it is a flag value indicating that a meaningful uncertainty could not be determined for the source. This column is null if the default magnitude is a 95% confidence upper limit (Rflg='0' or '6') or if the source is not measurable (Rflg='9')",0,0
